,aspect,document,sentiment
351,LAPTOP#GENERAL,I can't say enough of how satisfied I am with their product and help aftermarket.,positive
352,LAPTOP#GENERAL,Money and time well spent!,positive
353,LAPTOP#GENERAL,Highly recommended!,positive
354,,I was looking for a mac which is portable and has all the features that I was looking for.,
355,LAPTOP#PRICE,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",positive
356,LAPTOP#MISCELLANEOUS,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",positive
357,,I would recommend anyone to buy from pcconnection express.,
358,MULTIMEDIA_DEVICES#QUALITY,Speakers doesn't sound that great.,negative
359,,The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.,
360,,This was an update from an early MacBook Pro.,
361,LAPTOP#OPERATION_PERFORMANCE,"Love the speed, especially!",positive
362,LAPTOP#GENERAL,So glad I decided to upgrade!,positive
363,,"Thanks, MacConnection, for making this a seamless purchase!",
364,MOUSE#QUALITY,"I've owned this labtop for less then two months, already the mouse button has broke.",negative
365,SUPPORT#QUALITY,"Still under warrenty so called Toshiba, no help at all.",negative
366,LAPTOP#QUALITY,I'm stuck w/ a broken computer.,negative
367,LAPTOP#GENERAL,"Will not buy another Toshiba, this is my second, not happy w/ either.",negative
368,,This is my 3rd Apple Laptop and first MacBook Pro.,
369,LAPTOP#QUALITY,"I love its solid build, light wt and excellent battery life (for now).",positive
370,DISPLAY#DESIGN_FEATURES,Excellent LED monitor and well equipped.,positive
371,COMPANY#GENERAL,I love the Apple products.,positive
372,LAPTOP#GENERAL,"The Toshiba Mini Notebook, Model NB 305-N410BL, is a great little computer.",positive
373,KEYBOARD#DESIGN_FEATURES,"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",positive
374,LAPTOP#USABILITY,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",positive
375,LAPTOP#USABILITY,both upgrades were quickly accomplished after purchasing the necessary Product Key.,positive
376,LAPTOP#DESIGN_FEATURES,"Other installed features, such as certain printer software, are also most attractive.",positive
377,LAPTOP#QUALITY,"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",negative
378,LAPTOP#QUALITY,I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.,negative
379,SUPPORT#QUALITY,"Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them.",negative
380,SUPPORT#QUALITY,It's a long and tirring process that after a while it seems like their game plan was to wear you out so you would want to give up on contacting them.,negative
381,SUPPORT#QUALITY,"And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).",negative
382,LAPTOP#QUALITY,"Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",negative
383,LAPTOP#GENERAL,Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba?,negative
384,,Probably not ever again.,
385,COMPANY#GENERAL,I'll rather be out of date then spend more money on toshiba.,negative
386,COMPANY#GENERAL,Remember to do your research first before consider buying a toshiba product.,negative
387,LAPTOP#GENERAL,All I can say is W-O-W.,positive
388,LAPTOP#GENERAL,This laptop is insane!!!,positive
389,LAPTOP#DESIGN_FEATURES,It's so nice to look at and the keys are easy to type with.,positive
390,KEYBOARD#OPERATION_PERFORMANCE,I bought a protector for my key pad and it works great :),positive
391,LAPTOP#GENERAL,This is definitely a computer worth the money;,positive
392,MOUSE#DESIGN_FEATURES,The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.,neutral
393,LAPTOP#MISCELLANEOUS,"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",positive
394,LAPTOP#GENERAL,"Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.",positive
395,SUPPORT#QUALITY,The Apple team also assists you very nicely when choosing which computer is right for you :),positive
396,LAPTOP#GENERAL,"Obviously, this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way.",positive
397,LAPTOP#GENERAL,DEFINITELY recommended!!!,positive
398,LAPTOP#GENERAL,"Not a bad laptop, it's a bit slow, but gets the job done.",positive
399,DISPLAY#QUALITY,The lcd screen stopped working on mine after 10 months.,negative
400,SUPPORT#MISCELLANEOUS,I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,negative
401,SUPPORT#QUALITY,"upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired even though I had the receipt in front of me proving it still had 2 months left on the warranty.",negative
402,SUPPORT#QUALITY,even though I had the receipt in front of me proving it still had 2 months left on the warranty.,negative
403,SUPPORT#QUALITY,Dealing with the support drone on the other end of the chat was sheer torture.,negative
404,SUPPORT#QUALITY,English must have been his third or fourth language.,negative
405,SUPPORT#QUALITY,"His language was so bad I swore I was taking the turing test, and it was failing.",negative
406,SUPPORT#QUALITY,after trying to get some help he disconnected on me.,negative
407,,After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.,
408,SUPPORT#QUALITY,"After 4 days, being denied 6 times and told off once, I managed to get through and was able to send them a scanned copy of the receipt.",negative
409,,After that the said it was under warranty.,
410,SUPPORT#QUALITY,Then they had me jump through many hoops and questions to see if they could find another way to invalidate me.,negative
411,SUPPORT#QUALITY,"After they found no other way, they told me to courier it to them(since they don't allow the use of the post office) at my expense, and sent me a 4 page list of very specific packaging instructions to follow or it wouldn't be covered.",negative
412,SUPPORT#QUALITY,I managed to comply with these too and now have to wait and see if they can find another way to screw me.,negative
413,SUPPORT#QUALITY,They really do have the worlds very worst repair service.,negative
414,LAPTOP#QUALITY,"This computer gets very hot, before shutting down.",negative
415,LAPTOP#QUALITY,It is not ideal for children because of the temp.,negative
416,SUPPORT#QUALITY,"I Contacted HP  about this situation and was given excuses, without results.",negative
417,SUPPORT#QUALITY,They didn't even try to assist me or even offer a replacement.,negative
418,COMPANY#GENERAL,I will never purchase a HP again ever.,negative
419,COMPANY#GENERAL,"Let's just get this out of the way, I love Apple!",positive
420,,So this review might be a tad bit bias.,
421,LAPTOP#GENERAL,But the Macbook is the best!,positive
422,LAPTOP#USABILITY,It is super easy to use.,positive
423,LAPTOP#USABILITY,All you have to do is turn it on and it works.,positive
424,LAPTOP#QUALITY,"It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.",positive
425,LAPTOP#MISCELLANEOUS,"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.",neutral
426,,But if you are in the computer field you probably wouldn't be here.:),
427,LAPTOP#QUALITY,In the past four years I've had it I have never once gotten a virus.,positive
428,BATTERY#QUALITY,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",neutral
429,LAPTOP#USABILITY,"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",positive
430,LAPTOP#MISCELLANEOUS,"Also it is very good for college students who just need a reliable, easy to use computer.",positive
431,,Hope this helped!,
432,,"No laptop is perfect, but sometimes you just find a computer that works for you.",
433,LAPTOP#GENERAL,This laptop does everything I need it to very well.,positive
434,,I bought this laptop so that the entire family had a computer in the living room;,
435,,the two of us use it regularly.,
436,,I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,
437,LAPTOP#PRICE,The best thing about this laptop is the price along with some of the newer features.,positive
438,DISPLAY#QUALITY,The screen is bright and the keyboard is nice;,positive
439,KEYBOARD#DESIGN_FEATURES,I find myself using the 10-key more than I thought I would.,positive
440,BATTERY#OPERATION_PERFORMANCE,Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,positive
441,LAPTOP#QUALITY,For those that care about noise this thing doesn't really make any;,positive
442,CPU#QUALITY,the i3 processor doesn't seem to run hot and the fan rarely turns on.,positive
443,LAPTOP#DESIGN_FEATURES,I took off a star because the machine has a lot of junk software on it.,negative
444,LAPTOP#DESIGN_FEATURES,I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.,negative
445,SOFTWARE#GENERAL,Once I removed all the software the laptop loads in 15-20 seconds.,negative
446,LAPTOP#MISCELLANEOUS,This is not a serious gaming laptop or a serious media machine;,negative
447,LAPTOP#MISCELLANEOUS,my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,neutral
448,LAPTOP#GENERAL,Overall I am very satisfied with the purchase.,positive
449,,I looked around and based off my price/features comparison from a brand I trusted I landed here.,
450,LAPTOP#GENERAL,"Great, quick laptop for the money.",positive
451,LAPTOP#DESIGN_FEATURES,Right size and weight for portability.,positive
452,BATTERY#OPERATION_PERFORMANCE,Battery life needs more life.,negative
453,LAPTOP#USABILITY,Battery is not upgradable to a longer life battery.,negative
454,,Both my husband and I have this model Toshiba.,
455,LAPTOP#GENERAL,I love everything about it.,positive
456,BATTERY#OPERATION_PERFORMANCE,The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.,negative
457,BATTERY#OPERATION_PERFORMANCE,I would like at least a 4 hr. battery life.,negative
458,LAPTOP#DESIGN_FEATURES,"Otherwise, all other features are a 1",positive
459,LAPTOP#GENERAL,This mac is great!,positive
460,LAPTOP#DESIGN_FEATURES,"lightweight, long battery life, excellent transition from PC;",positive
461,LAPTOP#GENERAL,THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.,negative
462,LAPTOP#MISCELLANEOUS,"I will NEVER buy (Refurbished) again, I don't cae how cheap it is.",negative
463,,I'll wait and save up for a new one.,
