,aspect,document,sentiment
522,,Works beautifully.,
523,,Was easy to set up and has been easy to learn to use it.,
524,,Works good and is fast enough for me.,
525,,Good product for a good price.,
526,,This product was DOA.,
527,,Fired up and worked for the first day and then the display died on my wife while she was taking a timed test.,
528,,Would not recommend.,
529,,Can not believe the price!,
530,,"Amazing computer,  perfect for school.",
531,,i just love this ultrabook,
532,,i defenitly recommend it for anyone for office and home work,
533,,I love this computer!,
534,,However I am very upset that it doesn't have the superdrive built in!,
535,,Had to have this computer repaired twice in the first 5 months after purchasing it.,
536,,Not good for a person who gets online daily.,
537,,May be better for the occasional web surfer.,
538,,"For everyday use, you can't really go wrong with this laptop.",
539,,"If, like me, you will be paying bills, occasionally reading the news, or just buying stuff on line, Then this is a winner.",
540,,"If you are a gamer or need it for heavy computer use, get something else.",
541,,It's a good starter computer that is extremely light on the wallet.,
542,,"Like i said, Good for basic stuff and as a starter.",
543,,Still getting use to Window 8.,
544,,Has a built in camera which i do not use.,
545,,Sturdy but only for typical wear and tear.,
546,,Other than the slow CPU it works great for everyday use.,
547,,Heavy gaming is definitely not it's strong point.,
548,,The cover is a soft rubber texture without the friction.,
549,,Slick design and looks great.,
550,,very very slow laptop.,
551,,tons of bloatware and junk programs.,
552,,can't reinstall with standard os cd because of proprietary hardware drivers.,
553,,keys are all in weird places and is way too large for the way it is designed.,
554,,lots of extra space but the keyboard is ridiculously small.,
555,,I'm really impressed with the quality and performance for the price of the computer.,
556,,"Graphics are clean and sharp, internet interfaces are seamless.",
557,,"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",
558,,Sound card is limited though.,
559,,was a great deal i will give that.,
560,,the laptop preformed pretty well.,
561,,it cant fuction well with lots of webpages open at once.,
562,,it has times were it freezes for 10 seconds and then starts again.,
563,,"the mouse on the pad, the left button always sticks.",
564,,the mouse is way way way to sensitve.,
565,,i tried turning it done but it did nothing.,
566,,the mouse jumps around all the time and it clicks stuff i dont want it too.,
567,,its not bad just VERY VERY annoying.,
568,,think i would spend little extra to get a better made laptop.,
569,,Not working = bad,
570,,"I spent 2200 dollars on a ""top of the line laptop"".",
571,,I got the blue screen of death the first month I got it.,
572,,"1) Payed $2200 for a ""premium"" laptop",
573,,2) Blue screen first month,
574,,3) Horrible customer support-they lost my laptop for a month-got it back 3 months later,
575,,"4) Laptop still did not work, blue screen within a week...",
576,,5) Cut my losses and sold it for parts,
577,,"Do yourself a favor, this is not a fake story trying to hurt alienware...",
578,,"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...",
579,,do a quick search on the internet see if im the only one.,
580,,"This computer was bought because I wanted ""top of the line"", fast, reliable, HA.",
581,,"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap.",
582,,"It was slow, locked up, and also had hardware replaced after only 2 months!",
583,,"So, buyers beware!",
584,,From the moment I opened the box to the present it has been a great joy.,
585,,"It is always reliable, never bugged and responds well.",
586,,I love the operating system and the preloaded software.,
587,,THE 8.1.WAY DIFFERENT THAN MY OTHER COMPUTER SO WE HAVE TO GET USE  TO IT.,
588,,IT IS VERY LIGHT AND THE PICTURE IS NICE  AND THE PRICE WAS AMAZING.,
589,,CAN EVEN READMY KINDLE ON THIS COMPUTER,
590,,Great Laptop!,
591,,"Bigger screen than expected, laptop with a desktop design that is really nice to use for all types of usage, including programming/editing",
592,,Functions well.,
593,,Does all that was advertised.,
594,,"previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.",
595,,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",
596,,"So far, so good!",
597,,I've been impressed with the battery life and the performance for such a small amount of memory.,
598,,I don't understand why only Windows 7 Starter is included.,
599,,"Screen is awesome, battery life is good.",
600,,Really like the textured surface which shows no fingerprints.,
601,,Good laptop for the money.,
602,,"Speakers don't get that loud, but good enough.",
603,,I am very happy with this laptop.,
604,,For the price and what I get out of it has exceeded my expectations.,
605,,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,
606,,Satisfy what I paid for it.,
607,,Good monitor and performed well.,
608,,I am using the external speaker- sound is good.,
609,,Best thing is I can use existing 32 bit old programs.,
610,,I recommend for word processing and internet users.,
611,,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,
612,,I purchased this laptop 9 months ago!,
613,,The DVD burner broke after burning 3 DVD'd during that time!,
614,,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,
615,,I am currently out of town and called to inform them the broken part would be returned when I got back in town.,
616,,If this is an improvement in Customer Service then I would hate too see what it was before!,
617,,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,
618,,Needless to say I told them No and have a nice day and hung up!,
619,,I can guarantee this will be the last Dell I will ever purchase!,
